Mnemonic,Instruction
ABS.fmt,Floating Point Absolute Value
ADD.fmt,Floating Point Add
DIV.fmt,Floating Point Divide
MADD.fmt,Floating Point Multiply Add
MSUB.fmt,Floating Point Multiply Subtract
MUL.fmt,Floating Point Multiply
NEG.fmt,Floating Point Negate
NMADD.fmt,Floating Point Negative Multiply Add
NMSUB.fmt,Floating Point Negative Multiply Subtract
RECIP.fmt,Reciprocal Approximation
RSQRT.fmt,Reciprocal Square Root Approximation
SQRT.fmt,Floating Point Square Root
SUB.fmt,Floating Point Subtract
